ruling,record_file,class,item_summary,evidence
60,2026-09-01-ruling-60-census-provenance-checkout-depth.md,CONSTRUCTIBLE,checkout-depth config confirms Ruling 59's cases still hold,.github/workflows/python.yml:124-126 fetch-depth:0 matches §3
61,2026-09-01-ruling-61-notes-tombstone-stubs-watched.md,INVALIDATED,check_notes_tombstone() must red on a stray file and on an edited stub body,function absent (0 matches); scripts/audit-docs.py:55-64 module docstring: slot 30 given to NT-0019's header check protective job ends with this commit by that same resolution until W37-6 deletes the stubs entirely; name repurposed to check_redirects/slot 36 which watches REDIRECTS.csv not the old notes root under .claude
62,2026-09-01-nt-0016-q1-q2-q3-q7-general-rulings.md,NONE_FOUND,,only an Overridden-if clause; lapsed by its own clause per NT-0019 §9
63,2026-09-01-nt-0016-q1-q2-q3-q7-general-rulings.md,NONE_FOUND,,only an Overridden-if clause; lapsed by its own clause per NT-0019 §9
64,2026-09-01-nt-0016-q1-q2-q3-q7-general-rulings.md,NONE_FOUND,,only an Overridden-if clause; kept and reassigned as check 38 elsewhere but states no test itself
65,2026-09-01-nt-0016-q1-q2-q3-q7-general-rulings.md,NONE_FOUND,,only an Overridden-if clause; lapsed by its own clause per NT-0019 §9
66,2026-09-02-w37-migration-preconditions-rulings.md,CONSTRUCTIBLE,item1 checks 30/31/33/36 built; item2 (reversion-based) WITHDRAWN by Ruling 73,check 34 DP-7 shared predicate confirmed shared between doc-id.py and audit-docs.py
67,2026-09-02-w37-migration-preconditions-rulings.md,CONSTRUCTIBLE,three items: load-bearing exclusions, positive control, one shared constant,LEGACY_FORM_PATTERNS / check 36 shared constant confirmed
68,2026-09-02-w37-migration-preconditions-rulings.md,CONSTRUCTIBLE,three items: filter fails on body-line change and on unclassifiable hunk; one predicate,frozen_file_matches_after_migration_stamp shared between doc-id.py and audit-docs.py
69,2026-09-02-w37-migration-preconditions-rulings.md,CONSTRUCTIBLE,four items: population drift loud, under/over-exemption, recorded deviation,_VENDORED_SKILLS exists in scripts/_docid.py; reconciliation tests in tests/test_doc_id.py
70,2026-09-02-w37-field-set-and-rollup-rulings.md,CONSTRUCTIBLE,four items: wrong-carrier check, hardcoded-policy check, silent-coverage check, ledger extra,check_header_fields/derive_field_policies read from templates; FD.md already excludes decision: citing Ruling 70
71,2026-09-02-w37-field-set-and-rollup-rulings.md,CONSTRUCTIBLE,four items: unscoped/silent-empty/zero-by-construction/lost-carry-in,scripts/doc-index.py _findings_figures returns (opened,discharged,unowned_decay,carry_in); uses r.unowned not not decision
72,2026-09-02-w37-field-set-and-rollup-rulings.md,CONSTRUCTIBLE,four fixtures: invisible slice, mid-flight, replanned, no-catch-all,_rollup_map_plan docstring cites Ruling 72; precedence table present, no trailing catch-all
73,2026-09-02-w37-6-leaf-plan-findings-rulings.md,CONSTRUCTIBLE,withdrawal of Ruling 66 item2 + 2a/2b/2c substitute; own §5 two falsifiability items,sweep_legacy_forms measured wrong in both directions on the real corpus
74,2026-09-02-w37-6-leaf-plan-findings-rulings.md,CONSTRUCTIBLE,git-hygiene exclusion re-testable via limb 2b; gap not mis-described as closed,sweep_legacy_forms over git-hygiene returns 0 hits
75,2026-09-02-w37-6-leaf-plan-findings-rulings.md,CONSTRUCTIBLE,RL- route end to end; no docs/audit/ path survives in a charter,this record is its own worked exemplar of the RL- route
76,2026-09-02-w37-6-leaf-plan-findings-rulings.md,CONSTRUCTIBLE,no rejected criterion states anywhere; absent check reds; re-assignment visible,_VENDORED_SKILLS confirmed to exist (was absent when this ruling was filed)
77,2026-09-02-w37-6-leaf-plan-findings-rulings.md,CONSTRUCTIBLE,backstop zero-none row; two files findable; findings clause not half-applied,acceptance item (a)'s zero-none-row check is the backstop
78,2026-09-02-w37-6-leaf-plan-findings-rulings.md,CONSTRUCTIBLE,predicate asserted not trusted; result checkable after the fact; class swept not instance,_discover_closure_records verified directly: 8 CR-work + 1 CR-phase + 2 RS-audit + 10 LG- of 21 real records
79,2026-09-02-w37-template-parser-conflicts-rulings.md,CONSTRUCTIBLE,three items: row-template parses; Ruling 70 mutation; kind: on WK- rejected,tests/test_template_headers.py:378,407,426 all pass
80,2026-09-02-w37-template-parser-conflicts-rulings.md,CONSTRUCTIBLE,three items: phase body parses; no-field no-borrow; template mutation,tests/test_template_headers.py:479,507,541 all pass
81,2026-09-02-w37-commit-boundary-and-plan-reviews-shape-rulings.md,CONSTRUCTIBLE,three items: round-trip check; two positive controls; dual exit-0,tests/test_doc_id_migrate.py:807; both doc-index.py --check and audit-docs.py exit 0 live
82,2026-09-02-w37-commit-boundary-and-plan-reviews-shape-rulings.md,CONSTRUCTIBLE,three items: coverage assertion; 11-review split; legacy-guard generalised,_check_plan_reviews_heading_census live; _discover_plan_reviews verified to return 11 drafts
83,2026-09-02-w37-guard-arithmetic-and-ledger-family-rulings.md,CONSTRUCTIBLE,five items: census fails today naming real headings; two mutations; legacy-guard nuance; roadmap arithmetic not yet built,_check_multi_ruling_files_not_silently_unrecognised live; _reconcile_census raises citing Ruling 83 §3 item 3
84,2026-09-02-w37-guard-arithmetic-and-ledger-family-rulings.md,VACUOUS,item2 (original text): no emitted LG- carries a slice: resolving to no roadmap row,scripts/doc-id.py:946 elif key in (slice,...): continue - unconditional, no slice parameter in _stamp_header's signature; register F77; items 1/3/4 CONSTRUCTIBLE and built
85,2026-09-02-w37-stage-boundary-authority-ruling.md,CANNOT_DETERMINE,item3 has no Violation clause among two genuine siblings in the same §4,reads as disclosure prose for the maintainer's weighing; items 1-2 CONSTRUCTIBLE
86,2026-09-02-w37-ruling-a-series-and-standalone-ruling-files.md,INVALIDATED,item3: each new RL- record carries an owner: that is not decision-maker,Ruling 95 (a later ruling) reverses the decision this item encoded; post-sweep confirmed by commit 2e48960/#620: _ruling_file_owner now unconditionally returns decision-maker for every input
87,2026-09-02-w37-ruling-a-series-and-standalone-ruling-files.md,CONSTRUCTIBLE,three items: no PL- body-heading; depth-independent classifier; non-constant owner - not yet built,_discover_plain_plans still returns the three files as PL-; _PLAN_KIND_OWNER[leaf]=planner still hardcoded
88,2026-09-02-w37-container-family-and-line-citations-rulings.md,INVALIDATED,item2 (original text): a fixture whose only level-2 heading is followed by three record headings,PR #609/2fbce0c demoted the heading; grep -c '^## ' docs/audit/plan-reviews.md = 0; rebuilt by Ruling 93 on a property not a level
89,2026-09-02-w37-container-family-and-line-citations-rulings.md,CONSTRUCTIBLE,three items: no legacy-path-offset citation; ledger disposition recorded; one instrument fixed,the 17-citation corpus reproduced exactly by the stated grep
90,2026-09-02-w37-roadmap-transform-rulings.md,CONSTRUCTIBLE,closed-work counts non-zero; 41 ids in 41 WK- rows out,_discover_roadmap(root) verified by execution to return 41 distinct ids
91,2026-09-02-w37-roadmap-transform-rulings.md,CONSTRUCTIBLE,body-fragment merge from every source row; disagreement forces refusal,body_fragments unconditional list comprehension; NotImplementedError on len(known_signals)>1
92,2026-09-02-w37-roadmap-transform-rulings.md,CONSTRUCTIBLE,every Depends-on id resolves to a WK- row (W6 control); W6 retired with successors named,W6 verified by execution: status=retired, body names W6a/W6b
93,2026-09-02-w37-ruling-88-acceptance-amendment.md,CONSTRUCTIBLE,rebuilt property-based fixture + positively-identified container (replaces Ruling 88 item2),grep -c '^## ' docs/audit/plan-reviews.md = 0 confirmed at current tree
94,2026-09-02-w37-vacuous-acceptance-item-ruling.md,CONSTRUCTIBLE,substituted count-and-print check + _stamp_header mutation test (replaces Ruling 84 item2); design constructible,register F77: not yet built as of this pin - no commit had touched scripts/doc-id.py or tests/test_doc_id_migrate.py for this purpose since 09b7e9b
95,2026-09-02-w37-gap-1-ruling-86-owner-ruling.md,VACUOUS,item3 (originally worded): Ruling 87's decision-maker owner for the 3 standalone files still holds after this amendment,scripts/doc-id.py:1541 owner=_PLAN_KIND_OWNER[leaf]=planner; zero code paths emitted decision-maker for those 3 files as of this pin - non-interference property holds, nothing to observe; re-instrumented post-sweep by commit 2e48960/#620 (test_ruling_87_standalone_files_are_untouched_by_this_amendment)
A1,2026-08-30-nt-0012-0013-0014-adoption.md,NONE_FOUND,,two-sentence placement Ruled clause; no test stated
A2,2026-08-30-nt-0012-0013-0014-adoption.md,NONE_FOUND,,placement decision only
A3,2026-08-30-nt-0012-0013-0014-adoption.md,NONE_FOUND,,placement decision only
